STM0001	thr operon leader peptide
STM4301	anaerobic C4-dicarboxylate transporter
STM4302	hypothetical protein
STM4303	two-component system response regulator DcuR
STM4304	two-component system sensor histidine kinase DcuS
STM4305	putative anaerobic dimethyl sulfoxide reductase, subunit A
STM4306	anaerobic dimethyl sulfoxide reductase subunit B
STM4307	anaerobic dimethyl sulfoxide reductase subunit C
STM4308	putative component of anaerobic dehydrogenases
STM4309	hypothetical protein
STM4310	hypothetical protein
STM4311	IS200/IS605 family transposase
STM4312	hypothetical protein
STM4313	putative cytoplasmic protein
STM4314	putative luxR family bacterial regulatory proteins
STM4315	AraC family transcriptional regulator
STM4316	hypothetical protein
STM4317	CopG family transcriptional regulator
STM4318	GNAT family N-acetyltransferase
STM4319	phosphatase PAP2 family protein
STM4319a	ethyl tert-butyl ether degradation protein EthD
STM4320	MerR family transcriptional regulator
STM4322	MerR family transcriptional regulator
STM4323	protein-disulfide reductase DsbD
STM4324	divalent-cation tolerance protein CutA
STM4325	C4-dicarboxylate transporter
STM4326	aspartase
STM4327	suppresses F exclusion of bacteriophage T7
STM4328	L-methionine/branched-chain amino acid transporter
STM4329	co-chaperone GroES
STM4330	chaperonin GroL
STM4331	putative outer membrane lipoprotein
STM4332	hypothetical protein
STM4333	EF-P beta-lysylation protein EpmB
STM4334	elongation factor P
STM4335	putative entericidin A precursor
STM4336	putative entericidin B precursor
STM4337	LuxR family transcriptional regulator
STM4338	QacE family quaternary ammonium compound efflux SMR transporter
STM4339	hypothetical protein
STM4340	fumarate reductase subunit D
STM4341	fumarate reductase subunit C
STM4342	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
STM4343	fumarate reductase (quinol) flavoprotein subunit
STM4344	elongation factor P lysine(34) lysyltransferase
STM4345	glutamate/gamma-aminobutyrate family transporter YjeM
STM4346	hypothetical protein
STM4347	miniconductance mechanosensitive channel MscM
STM4348	phosphatidylserine decarboxylase
STM4349	putative GTPase
STM4350	oligoribonuclease
STM4351	arginine ABC transporter substrate-binding protein
STM4355	putative Fe-S protein
STM4356	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
STM4357	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
STM4358	N-acetylmuramoyl-L-alanine amidase AmiB
STM4359	DNA mismatch repair protein MutL
STM4360	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
STM4361	RNA chaperone Hfq
STM4362	GTPase HflX
STM4363	FtsH protease regulator HflK
STM4364	protease modulator HflC
STM4365	DUF2065 domain-containing protein
STM4366	adenylosuccinate synthase
STM4367	transcriptional repressor NsrR
STM4368	ribonuclease R
STM4369	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
STM4370	hypothetical protein
STM4371	putative phage shock protein A
STM4372	hypothetical protein
STM4373	putative cytoplasmic protein
STM4374	hypothetical protein
STM4375	hypothetical protein
STM4376	putative glutathionylspermidine synthase
STM4377	isovaleryl-CoA dehydrogenase
STM4378	putative inner membrane protein
STM4379	biofilm stress/motility protein A
STM4380	esterase
STM4381	transcriptional repressor UlaR
STM4382	L-ascorbate 6-phosphate lactonase
STM4383	putative PTS enzyme IIsga subunit
STM4384	PTS L-ascorbate transporter subunit IIB
STM4385	PTS ascorbate-specific transporter subunit IIA
STM4386	3-keto-L-gulonate-6-phosphate decarboxylase
STM4387	xylulose 5-phosphate 3-epimerase
STM4388	L-ribulose-5-phosphate 4-epimerase
STM4389	hypothetical protein
STM4390	putative cytoplasmic protein
STM4391	30S ribosomal protein S6
STM4392	primosomal replication protein N
STM4393	30S ribosomal protein S18
STM4394	50S ribosomal protein L9
STM4395	EamA family transporter
STM4396	hypothetical protein
STM4397	FKBP-type 22KD peptidyl-prolyl cis-trans isomerase
STM4398	D-serine/D-alanine/glycine transporter
STM4399	iron-sulfur cluster repair di-iron protein
STM4400	EamA family transporter
STM4401	NAD(P)-dependent oxidoreductase
STM4402	putative transcriptional regulator
STM4403	2',3'-cyclic-nucleotide 2'-phosphodiesterase
STM4404	3'(2'),5'-bisphosphate nucleotidase CysQ
STM4405	hypothetical protein
STM4406	putative cytoplasmic protein
STM4407	hypothetical protein
STM4408	peptide-methionine (S)-S-oxide reductase
STM4409	hypothetical protein
STM4410	translocation/assembly module TamB
STM4411	gamma-glutamylcyclotransferase
STM4412	MFS transporter
STM4413	metal-dependent hydrolase
STM4414	inorganic pyrophosphatase
STM4415	fructose-bisphosphatase
STM4416	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
STM4417	MurR/RpiR family transcriptional regulator
STM4418	MFS transporter
STM4419	MFS transporter
STM4420	5-deoxy-glucuronate isomerase
STM4421	methylmalonate-semialdehyde dehydrogenase (acylating)
STM4422	hypothetical protein
STM4423	putative AraC-type DNA-binding domain-containing protein
STM4424	putative endonuclease
STM4425	inositol 2-dehydrogenase
STM4426	lysosomal glucosyl ceramidase
STM4427	putative endonuclease
STM4428	arabinose transporter
STM4430	putative sugar kinase
STM4429	putative cytoplasmic protein
STM4431	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
STM4432	putative thiamine pyrophosphate-requiring enzyme
STM4433	inositol 2-dehydrogenase
STM4434	MFS transporter
STM4435	inosose isomerase
STM4436	protein iolH
STM4437	hypothetical protein
STM4438	metalloprotease PmbA
STM4439	cytochrome b562
STM4440	putative cytoplasmic protein
STM4441	hypothetical protein
STM4442	putative cytoplasmic protein
STM4443	hypothetical protein
STM4444	hypothetical protein
STM4445	putative dihydroorotase
STM4446	L-seryl-tRNA selenium transferase
STM4447	2-dehydro-3-deoxyphosphooctonate aldolase
STM4448	transcription antiterminator BglG
STM4449	bifunctional antitoxin/transcriptional repressor RelB
STM4450	mRNA-degrading endonuclease RelE
STM4451	anaerobic ribonucleotide reductase-activating protein
STM4452	anaerobic ribonucleoside-triphosphate reductase
STM4453	trehalose- 6-P hydrolase
STM4455	trehalose operon repressor
STM4456	magnesium-translocating P-type ATPase
STM4457	putative transposase
STM4458	reactive intermediate/imine deaminase
STM4459	aspartate carbamoyltransferase regulatory subunit
STM4460	aspartate carbamoyltransferase catalytic subunit
STM4461	pyrBI operon leader peptide
STM4462	putative cytoplasmic protein
STM4463	putative arginine repressor
STM4464	ion transporter superfamily protein
STM4465	putative ornithine carbamoyltransferase
STM4466	putative carbamate kinase
STM4467	putative arginine deiminase
STM4468	toxin-antitoxin biofilm protein TabA
STM4469	ornithine carbamoyltransferase
STM4470	ribonuclease E inhibitor B
STM4471	tRNA 2-methylthio-N6-isopentenyl adenosine(37) hydroxylase MiaE
STM4472	hypothetical protein
STM4473	GNAT family N-acetyltransferase
STM4474	hypothetical protein
STM4475	valine--tRNA ligase
STM4476	DNA polymerase III, chi subunit
STM4477	leucyl aminopeptidase
STM4478	hypothetical protein
STM4479	lipopolysaccharide ABC transporter permease LptF
STM4480	lipopolysaccharide ABC transporter permease LptG
STM4481	transcriptional regulator
STM4482	gluconate permease
STM4483	5-keto-D-gluconate-5-reductase
STM4484	L-idonate 5-dehydrogenase
STM4485	gluconate kinase
STM4486	putative alcohol dehydrogenase
STM4488	DUF4102 domain-containing protein
STM4489	DNA helicase
STM4490	putative Mrr restriction endonuclease
STM4491	putative ATP-dependent Lon protease
STM4492	putative cytoplasmic protein
STM4493	putative cytoplasmic protein
STM4494	sugar/spermidine/putrescine ABC transporter ATP-binding protein
STM4495	type II restriction enzyme methylase subunit
STM4496	DNA repair protein
STM4497	hypothetical protein
STM4498	putative inner membrane protein
STM4499	putative cytoplasmic protein
STM4500	putative SAM-dependent methyltransferase
STM4501	hypothetical protein
STM4502	hypothetical protein
STM4503	putative inner membrane protein
STM4504	hypothetical protein
STM4505	hypothetical protein
STM4506	putative dienelactone hydrolase
STM4507	GntR family transcriptional regulator
STM4508	tryptophan--tRNA ligase
STM4509	putative cytoplasmic protein
STM4510	putative aspartate racemase
STM4511	putative LysR family transcriptional regulator
STM4512	beta-aspartyl-peptidase
STM4513	hypothetical protein
STM4514	putative inner membrane protein
STM4515	MFS transporter
STM4516	hypothetical protein
STM4517	MFS transporter
STM4518	hypothetical protein
STM4519	succinate-semialdehyde dehydrogenase
STM4520	hypothetical protein
STM4521	DUF1127 domain-containing protein
STM4522	hypothetical protein
STM4523	endoribonuclease SymE
STM4524	restriction endonuclease subunit S
STM4525	DNA methylase M
STM4526	type I restriction-modification system endonuclease
STM4527	restriction endonuclease
STM4528	hypothetical protein
STM4529	type II toxin-antitoxin system antitoxin BrnA
STM4530	putative cobalamin synthesis protein
STM4531	hypothetical protein
STM4532	carbon starvation protein A
STM4533	methyl-accepting chemotaxis protein II
STM4534	Fis family transcriptional regulator
STM4535	PTS sugar transporter
STM4536	PTS mannose/fructose/sorbose transporter subunit IIB
STM4537	PTS sugar transporter
STM4538	putative PTS permease
STM4539	glucosamine--fructose-6-phosphate aminotransferase
STM4540	putative glucosamine-fructose-6-phosphate aminotransferase
STM4541	phosphoglycerol transferase I
STM4542	hypothetical protein
STM4543	DNA replication protein DnaC
STM4544	primosomal protein DnaI
STM4545	hypothetical protein
STM4546	hypothetical protein
STM4547	putative LuxR/UhpA family transcriptional regulator
STM4548	transcriptional regulator (activator) of bgl operon
STM4549	cys-tRNA(pro)/cys-tRNA(cys) deacylase
STM4550	siderophore-iron reductase FhuF
STM4551	GGDEF domain-containing protein
STM4552	putative inner membrane protein
STM4556	16S rRNA (guanine(1207)-N(2))-methyltransferase
STM4557	DNA polymerase III subunit psi
STM4558	ribosomal-protein-alanine N-acetyltransferase
STM4559	putative haloacid dehalogenase-like hydrolase
STM4560	peptide chain release factor 3
STM4561	molecular chaperone OsmY
STM4562	putative inner membrane protein
STM4563	patatin family protein
STM4564	metal-dependent hydrolase
STM4565	glycine radical enzyme activase
STM4566	YjjI family glycine radical enzyme
STM4567	2-deoxyribose-5-phosphate aldolase
STM4568	thymidine phosphorylase
STM4569	phosphopentomutase
STM4570	purine-nucleoside phosphorylase
STM4571	hypothetical protein
STM4572	fimbrial assembly protein
STM4573	fimbrial chaperone protein
STM4574	hypothetical protein
STM4575	hypothetical protein
STM4576	lipoate--protein ligase
STM4577	hypothetical protein
STM4578	phosphoserine phosphatase SerB
STM4579	DNA repair protein RadA
STM4580	trifunctional nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase/transcriptional regulator NadR
STM4581	energy-dependent translational throttle protein EttA
STM4582	soluble lytic murein transglycosylase
STM4583	Trp operon repressor
STM4584	inosine/xanthosine triphosphatase
STM4585	phosphoglycerate mutase
STM4586	transcriptional regulator
STM4587	hypothetical protein
STM4588	two-component system response regulator CreB
STM4589	two-component system sensor histidine kinase CreC
STM4590	cell envelope integrity protein CreD
STM4591	major fimbrial protein SthE
STM4592	fimbrial protein SthD
STM4593	putative fimbrial usher protein
STM4594	fimbrial assembly chaperone SthB
STM4595	fimbrial protein SthA
STM4596	hypothetical protein
STM4597	hypothetical protein
STM4598	OmpR family response regulator ArcA
STM4599	hypothetical protein
STM4600	tRNA/rRNA methyltransferase
PSLT001	putative cytoplasmic protein
PSLT002	putative phospholipase D
PSLT003	DNA replication
PSLT004	DNA replication
PSLT005	replication of plasmid
PSLT006	DNA replication
PSLT007	putative outer membrane protein
PSLT008	sdiA-regulated gene;putative bacterial regulatory helix-turn-helix proteins, araC family
PSLT009	resistance to complement killing
PSLT010	sdiA-regulated gene; putative outer membrane protein
PSLT011	sdiA-regulated gene; putative thiol-disulfide isomerase or thioredoxin
PSLT012	putative bacterial regulatory proteins, luxR family
PSLT013	plasmid-encoded fimbriae; regulatory
PSLT014	putative outer membrane protein
PSLT015	putative outer membrane protein
PSLT016	plasmid-encoded fimbriae;chaperone
PSLT017	plasmid-encoded fimbriae; usher protein
PSLT018	plasmid-encoded fimbriae; major fimbrial subunit
PSLT019	plasmid-encoded fimbriae;regulation
PSLT020	hypothetical protein
PSLT023	DNA replication
PSLT024	hypothetical protein
PSLT025	putative cytoplasmic protein
PSLT026	putative periplasmic protein
PSLT027	toxin addiction system: antidote
PSLT028	toxin addiction system: toxin
PSLT029	putative cytoplasmic protein
PSLT030	putative cytoplasmic protein
PSLT031	resolvase
PSLT032	putative diguanylate cyclase/phosphodiesterase
PSLT033	putative inner membrane protein
PSLT034	putative adhesin
PSLT035	putative transposase
PSLT036	putative transposase, IS200-like
PSLT037	Salmonella plasmid virulence: hydrophilic protein
PSLT038	Salmonella plasmid virulence: hydrophilic protein
PSLT039	Salmonella plasmid virulence: hydrophilic protein
PSLT040	Salmonella plasmid virulence: outer membrane protein
PSLT041	Salmonella plasmid virulence: regulation of spv operon, lysR family
PSLT042	putative integrase protein
PSLT043	putative phosphoribulokinase / uridine kinase family
PSLT044	putative integrase protein
PSLT045	putative resolvase
PSLT046	putative carbonic anhydrase
PSLT047	putative cytoplasmic protein
PSLT048	alpha-helical coiled coil protein
PSLT049	putative DNA polymerase III epsilon subunit (3'-5' exonuclease)
PSLT050	putative cytoplasmic protein
PSLT051	putative cytoplasmic protein
PSLT052	plasmid partition protein A
PSLT053	plasmid partition protein B
PSLT054	mutagenesis by UV and mutagens; related to umuDC operon
PSLT055	mutagenesis by UV and mutagens; related to umuDC operon
PSLT056	putative cytoplasmic protein
PSLT057	putative cytoplasmic protein
PSLT059	putative adenine-specific DNA methylase
PSLT060	putative cytoplasmic protein
PSLT061	putative inner membrane protein
PSLT062	putative cytoplasmic protein
PSLT063	putative cytoplasmic protein
PSLT064	putative inner membrane protein
PSLT066	single-strand binding protein
PSLT067	putative cytoplasmic protein
PSLT068	putative ParB-like nuclease domain
PSLT069	Plasmid SOS inhibition
PSLT070	Plasmid SOS inhibition
PSLT072	putative transglycosylase
PSLT073	conjugative transfer: mating signal
PSLT075	conjugative transfer: regulation
PSLT076	conjugative transfer: oriT nicking
PSLT077	conjugative transfer: fimbrial subunit
PSLT078	conjugative transfer: assembly
PSLT079	conjugative transfer: assembly
PSLT080	conjugative transfer: assembly
PSLT081	conjugative transfer: assembly
PSLT082	conjugative transfer
PSLT083	conjugative transfer protein
PSLT084	conjugative transfer: assembly
PSLT085	conjugative transfer
PSLT087	conjugative transfer protein
PSLT088	conjugative transfer: assembly
PSLT089	conjugative transfer
PSLT091	conjugative transfer: assembly
PSLT092	conjugative transfer: assembly
PSLT093	conjugative transfer protein
PSLT094	conjugative transfer: assembly
PSLT095	conjugative transfer: aggregate stability
PSLT096	conjugative transfer
PSLT097	conjugative transfer: assembly
PSLT098	conjugative transfer: fimbrial synthesis
PSLT099	conjugative transfer
PSLT100	conjugative transfer: assembly
PSLT101	conjugative transfer: assembly abd aggregate stability
PSLT102	conjugative transfer: surface exclusion
PSLT103	conjugative transfer: surface exclusion
